city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population
Camden,Camden,39.9361,-75.1072,United States,US,USA,New Jersey,,74420
Wausau,Wausau,44.9616,-89.6439,United States,US,USA,Wisconsin,,74186
Camarillo,Camarillo,34.223,-119.0325,United States,US,USA,California,,74152
New Braunfels,New Braunfels,29.6995,-98.1152,United States,US,USA,Texas,,73959
Jackson,Jackson,35.6535,-88.8351,United States,US,USA,Tennessee,,73860
Flower Mound,Flower Mound,33.0344,-97.1147,United States,US,USA,Texas,,73547
Sumter,Sumter,33.9393,-80.3929,United States,US,USA,South Carolina,,73468
Mansfield,Mansfield,40.7655,-82.5276,United States,US,USA,Ohio,,73450
Rochester Hills,Rochester Hills,42.6645,-83.1563,United States,US,USA,Michigan,,73422
Morgantown,Morgantown,39.6379,-79.9468,United States,US,USA,West Virginia,,73183
Southfield,Southfield,42.4765,-83.2605,United States,US,USA,Michigan,,73100
Owensboro,Owensboro,37.7574,-87.1181,United States,US,USA,Kentucky,,73011
Winchester,Winchester,39.1734,-78.1745,United States,US,USA,Virginia,,72928
San Marcos,San Marcos,29.8766,-97.9311,United States,US,USA,Texas,,72928
Jonesboro,Jonesboro,35.8211,-90.6793,United States,US,USA,Arkansas,,72838
New Britain,New Britain,41.6758,-72.7862,United States,US,USA,Connecticut,,72558
Apple Valley,Apple Valley,34.5329,-117.2102,United States,US,USA,California,,72553
Harrisonburg,Harrisonburg,38.4362,-78.8735,United States,US,USA,Virginia,,72470
Waukesha,Waukesha,43.0088,-88.2462,United States,US,USA,Wisconsin,,72363
Conway,Conway,35.0754,-92.4696,United States,US,USA,Arkansas,,72360
Rancho Cordova,Rancho Cordova,38.5739,-121.2521,United States,US,USA,California,,72326
Dothan,Dothan,31.2335,-85.4066,United States,US,USA,Alabama,,71899
